id,run_id,dyad_id,model_id,score,last_updated_date
5648,41,2871,1,1.0,1/25/2024 9:10:16 AM
5656,41,2874,1,2.0,1/25/2024 9:10:16 AM
5657,41,2874,4,1.0,1/25/2024 9:10:16 AM
5658,41,2874,3,0.996,1/25/2024 9:10:16 AM
5661,41,2876,1,4.0,1/25/2024 9:10:16 AM
5662,41,2876,2,1.0,1/25/2024 9:10:16 AM
5663,41,2876,3,0.997,1/25/2024 9:10:16 AM
5664,41,2877,1,4.0,1/25/2024 9:10:16 AM
5665,41,2877,3,0.996,1/25/2024 9:10:16 AM
5666,41,2877,2,0.304,1/25/2024 9:10:16 AM
5667,41,2878,1,2.0,1/25/2024 9:10:16 AM
5668,41,2878,4,1.0,1/25/2024 9:10:16 AM
5678,41,2883,1,2.0,1/25/2024 9:10:16 AM
5679,41,2883,2,1.0,1/25/2024 9:10:16 AM
5680,41,2883,3,0.996,1/25/2024 9:10:16 AM
5681,41,2883,4,0.586,1/25/2024 9:10:16 AM
5682,41,2884,2,1.0,1/25/2024 9:10:16 AM
5683,41,2884,1,1.0,1/25/2024 9:10:16 AM
5684,41,2884,4,1.0,1/25/2024 9:10:16 AM
5685,41,2884,3,0.996,1/25/2024 9:10:16 AM
5688,41,2886,1,1.0,1/25/2024 9:10:16 AM
5691,41,2888,1,1.0,1/25/2024 9:10:16 AM
5692,41,2889,1,2.0,1/25/2024 9:10:16 AM
5693,41,2889,2,1.0,1/25/2024 9:10:16 AM
5694,41,2889,3,0.995,1/25/2024 9:10:16 AM
5695,41,2889,4,0.567,1/25/2024 9:10:16 AM
5696,41,2890,4,1.0,1/25/2024 9:10:16 AM
5697,41,2890,2,1.0,1/25/2024 9:10:16 AM
5698,41,2890,1,1.0,1/25/2024 9:10:16 AM
5699,41,2890,3,0.996,1/25/2024 9:10:16 AM
5704,41,2894,1,2.0,1/25/2024 9:10:16 AM
5705,41,2894,3,0.996,1/25/2024 9:10:16 AM
5710,41,2896,1,2.0,1/25/2024 9:10:16 AM
5711,41,2896,3,0.996,1/25/2024 9:10:16 AM
5712,41,2896,2,0.333,1/25/2024 9:10:16 AM
5719,41,2900,1,3.0,1/25/2024 9:10:16 AM
5720,41,2900,4,1.0,1/25/2024 9:10:16 AM
5721,41,2900,3,0.831,1/25/2024 9:10:16 AM
5728,41,2903,4,1.0,1/25/2024 9:10:16 AM
5729,41,2903,2,1.0,1/25/2024 9:10:16 AM
5730,41,2903,1,1.0,1/25/2024 9:10:16 AM
5731,41,2903,3,0.996,1/25/2024 9:10:16 AM
5732,41,2904,1,1.0,1/25/2024 9:10:16 AM
5733,41,2904,4,1.0,1/25/2024 9:10:16 AM
5734,41,2905,1,2.0,1/25/2024 9:10:16 AM
5735,41,2905,2,1.0,1/25/2024 9:10:16 AM
5736,41,2905,3,0.997,1/25/2024 9:10:16 AM
5737,41,2905,4,0.563,1/25/2024 9:10:16 AM
5763,41,2915,1,2.0,1/25/2024 9:10:16 AM
5772,41,2922,1,1.0,1/25/2024 9:10:16 AM
5773,41,2923,1,3.0,1/25/2024 9:10:16 AM
5774,41,2923,3,1.0,1/25/2024 9:10:16 AM
5775,41,2923,4,1.0,1/25/2024 9:10:16 AM
5776,41,2923,2,1.0,1/25/2024 9:10:16 AM
5777,41,2924,1,2.0,1/25/2024 9:10:16 AM
5778,41,2924,2,1.0,1/25/2024 9:10:16 AM
5779,41,2924,4,1.0,1/25/2024 9:10:16 AM
5780,41,2924,3,0.996,1/25/2024 9:10:16 AM
5782,41,2926,1,2.0,1/25/2024 9:10:16 AM
5783,41,2926,3,0.997,1/25/2024 9:10:16 AM
5784,41,2926,2,0.566,1/25/2024 9:10:16 AM
5785,41,2926,4,0.566,1/25/2024 9:10:16 AM
5790,41,2930,4,1.0,1/25/2024 9:10:16 AM
5791,41,2930,2,1.0,1/25/2024 9:10:16 AM
5792,41,2930,1,1.0,1/25/2024 9:10:16 AM
5793,41,2930,3,0.996,1/25/2024 9:10:16 AM
5797,41,2933,1,3.0,1/25/2024 9:10:16 AM
5798,41,2933,3,0.996,1/25/2024 9:10:16 AM
5799,41,2933,2,0.423,1/25/2024 9:10:16 AM
5800,41,2934,1,2.0,1/25/2024 9:10:16 AM
5809,41,2938,1,3.0,1/25/2024 9:10:16 AM
5810,41,2938,2,1.0,1/25/2024 9:10:16 AM
5811,41,2938,4,1.0,1/25/2024 9:10:16 AM
5812,41,2938,3,1.0,1/25/2024 9:10:16 AM
5814,41,2940,1,2.0,1/25/2024 9:10:16 AM
5815,41,2940,2,1.0,1/25/2024 9:10:16 AM
5816,41,2940,4,1.0,1/25/2024 9:10:16 AM
5817,41,2940,3,0.996,1/25/2024 9:10:16 AM
5819,41,2942,1,4.0,1/25/2024 9:10:16 AM
5820,41,2942,4,1.0,1/25/2024 9:10:16 AM
